81,84,0
81,85,0
81,26,0
81,36,0
81,44,0
26,93,1
26,70,1
26,71,1
26,73,1
26,81,1
26,93,2
26,27,3
26,28,3
26,29,3
26,30,3
26,61,3
26,31,3
61,27,4
61,28,4
61,71,4
61,52,4
61,73,4
61,77,4
61,30,4
61,43,4
61,81,4
61,60,4
61,25,4
61,84,4
61,85,4
61,26,4
61,36,4
61,44,4
61,93,5
61,70,5
61,73,5
61,81,5
61,26,5
61,36,5
61,44,5
81,70,6
81,71,6
81,55,6
81,82,6
81,58,6
81,44,6
66,87,7
81,73,8
77,62,9
81,61,10
81,27,11
81,28,11
81,71,11
81,52,11
81,73,11
81,77,11
81,30,11
81,43,11
81,60,11
81,25,11
81,84,11
81,85,11
81,26,11
81,36,11
81,44,11
13,14,11
0,27,12
0,28,12
0,71,12
0,98,12
0,30,12
0,26,12
0,89,12
1,7,13
2,0,14
2,3,14
8,17,15
94,70,16
94,5,16
89,88,17
41,57,18
41,57,19
41,57,20
41,57,21
66,92,22
57,41,23
0,2,24
30,44,25
0,66,26
0,37,26
0,4,26
0,26,26
0,2,26
0,87,26
0,3,26
1,4,27
26,89,28
89,26,29
6,13,30
6,12,30
36,94,31
49,43,32
43,49,33
11,13,34
11,17,34
19,9,35
40,39,36
